,price,year,dong,area,region_code,region_name,per_price
0,"88,500",2019,청운동,129.76,11110,서울특별시 종로구,682.0283600493219
1,"16,200",2019,누상동,26.64,11110,서울특별시 종로구,608.1081081081081
2,"104,000",2019,사직동,95.88,11110,서울특별시 종로구,1084.689194826867
3,"106,000",2019,사직동,94.51,11110,서울특별시 종로구,1121.574436567559
4,"148,000",2019,사직동,163.33,11110,서울특별시 종로구,906.1409416518703
5,"105,000",2019,사직동,94.28,11110,서울특별시 종로구,1113.703860840051
6,"143,000",2019,사직동,160.85,11110,서울특별시 종로구,889.027043829655
7,"78,500",2019,내수동,109.91,11110,서울특별시 종로구,714.2207260485852
8,"90,500",2019,견지동,137.55,11110,서울특별시 종로구,657.9425663395128
9,"70,700",2019,인의동,84.7,11110,서울특별시 종로구,834.7107438016528
10,"19,900",2019,연건동,16.98,11110,서울특별시 종로구,1171.967020023557
11,"80,000",2019,명륜2가,84.9,11110,서울특별시 종로구,942.2850412249705
12,"7,500",2019,명륜3가,26.64,11110,서울특별시 종로구,281.5315315315315
13,"8,700",2019,명륜3가,33.33,11110,서울특별시 종로구,261.02610261026103
14,"7,500",2019,명륜3가,26.64,11110,서울특별시 종로구,281.5315315315315
15,"8,800",2019,명륜3가,33.33,11110,서울특별시 종로구,264.02640264026405
16,"34,500",2019,명륜3가,59.73,11110,서울특별시 종로구,577.5991963837268
17,"50,000",2019,창신동,115.53,11110,서울특별시 종로구,432.7880204275946
18,"59,900",2019,창신동,59.95,11110,서울특별시 종로구,999.1659716430358
19,"25,800",2019,창신동,59.47,11110,서울특별시 종로구,433.8321842946023
20,"26,800",2019,창신동,59.3,11110,서울특별시 종로구,451.9392917369309
21,"16,500",2019,창신동,53.73,11110,서울특별시 종로구,307.0910106085986
22,"26,000",2019,창신동,59.01,11110,서울특별시 종로구,440.6032875783766
23,"55,000",2019,창신동,84.9,11110,서울특별시 종로구,647.8209658421672
24,"61,000",2019,숭인동,59.92,11110,서울특별시 종로구,1018.0240320427235
25,"12,800",2019,숭인동,19.466,11110,서울특별시 종로구,657.556765642659
26,"11,500",2019,숭인동,12.78,11110,서울특별시 종로구,899.8435054773083
27,"13,000",2019,숭인동,17.811,11110,서울특별시 종로구,729.8860254898658
28,"68,000",2019,숭인동,59.92,11110,서울특별시 종로구,1134.8464619492656
29,"80,000",2019,숭인동,84.9478,11110,서울특별시 종로구,941.7548188416887
30,"76,000",2019,숭인동,84.95,11110,서울특별시 종로구,894.6439081812831
31,"114,000",2019,평동,59.855,11110,서울특별시 종로구,1904.602790076017
32,"140,500",2019,평동,84.836,11110,서울특별시 종로구,1656.1365458060259
33,"141,000",2019,홍파동,84.836,11110,서울특별시 종로구,1662.0302701683247
34,"117,000",2019,홍파동,59.895,11110,서울특별시 종로구,1953.4184823441021
35,"143,000",2019,홍파동,84.836,11110,서울특별시 종로구,1685.605167617521
36,"194,500",2019,홍파동,116.986,11110,서울특별시 종로구,1662.5921050382096
37,"140,000",2019,홍파동,84.614,11110,서울특별시 종로구,1654.5725293686623
38,"47,500",2019,평창동,84.99,11110,서울특별시 종로구,558.8892810918932
39,"38,500",2019,평창동,59.97,11110,서울특별시 종로구,641.9876604969152
40,"50,000",2019,평창동,84.98,11110,서울특별시 종로구,588.3737349964697
41,"170,000",2019,평창동,219.775,11110,서울특별시 종로구,773.5183710613127
42,"58,900",2019,무악동,60,11110,서울특별시 종로구,981.6666666666666
43,"89,900",2019,무악동,114.9,11110,서울특별시 종로구,782.4194952132289
44,"85,000",2019,무악동,84.858,11110,서울특별시 종로구,1001.6733837705342
45,"92,800",2019,무악동,84.858,11110,서울특별시 종로구,1093.5916472224185
46,"108,000",2019,무악동,114.931,11110,서울특별시 종로구,939.6942513334087
47,"93,000",2019,무악동,84.858,11110,서울특별시 종로구,1095.9485257724668
48,"81,000",2019,무악동,84.92,11110,서울특별시 종로구,953.8389072067829
49,"81,900",2019,무악동,84.92,11110,서울특별시 종로구,964.4371172868582
50,"51,000",2019,회현동1가,33.81,11140,서울특별시 중구,1508.4294587400177
51,"40,000",2019,회현동1가,66.15,11140,서울특별시 중구,604.6863189720332
52,"32,300",2019,회현동1가,68.34,11140,서울특별시 중구,472.63681592039796
53,"139,800",2019,회현동2가,166.24,11140,서울특별시 중구,840.9528392685273
54,"79,000",2019,충무로4가,80.473,11140,서울특별시 중구,981.6957240316628
55,"23,300",2019,충무로5가,22.75,11140,서울특별시 중구,1024.1758241758241
56,"36,500",2019,충무로5가,31.02,11140,서울특별시 중구,1176.6602192134108
57,"22,500",2019,인현동2가,48.56,11140,서울특별시 중구,463.3443163097199
58,"39,250",2019,묵정동,67.77,11140,서울특별시 중구,579.1648221927106
59,"9,300",2019,장충동2가,31.24,11140,서울특별시 중구,297.6952624839949
60,"65,000",2019,신당동,59.97,11140,서울특별시 중구,1083.8752709688179
61,"29,500",2019,신당동,46.07,11140,서울특별시 중구,640.3299327110918
62,"78,000",2019,신당동,84.88,11140,서울특별시 중구,918.9443920829407
63,"87,000",2019,신당동,84.88,11140,서울특별시 중구,1024.97643732328
64,"83,500",2019,신당동,84.39,11140,서울특별시 중구,989.453726744875
65,"71,000",2019,신당동,65.37,11140,서울특별시 중구,1086.1251338534496
66,"109,000",2019,신당동,114.88,11140,서울특별시 중구,948.816155988858
67,"90,000",2019,신당동,84.88,11140,서울특별시 중구,1060.3204524033931
68,"68,000",2019,신당동,122.275,11140,서울특별시 중구,556.1234921283991
69,"81,500",2019,신당동,84.88,11140,서울특별시 중구,960.1790763430727
70,"72,500",2019,신당동,59.94,11140,서울특별시 중구,1209.542876209543
71,"74,000",2019,신당동,59.94,11140,서울특별시 중구,1234.567901234568
72,"73,900",2019,신당동,59.95,11140,서울특별시 중구,1232.693911592994
73,"86,500",2019,신당동,114.48,11140,서울특별시 중구,755.5904961565338
74,"67,000",2019,신당동,57.63,11140,서울특별시 중구,1162.5889293770606
75,"105,000",2019,신당동,114.92,11140,서울특별시 중구,913.6790810998956
76,"72,300",2019,신당동,59.94,11140,서울특별시 중구,1206.2062062062062
77,"101,000",2019,신당동,114.88,11140,서울특별시 중구,879.1782729805014
78,"96,000",2019,신당동,114.88,11140,서울특별시 중구,835.6545961002786
79,"110,000",2019,신당동,84.95,11140,서울특별시 중구,1294.8793407886992
80,"151,000",2019,신당동,147.89,11140,서울특별시 중구,1021.0291432821692
81,"77,800",2019,신당동,59.94,11140,서울특별시 중구,1297.9646312979646
82,"87,000",2019,신당동,84.88,11140,서울특별시 중구,1024.97643732328
83,"59,000",2019,신당동,59.76,11140,서울특별시 중구,987.2824631860776
84,"77,500",2019,신당동,59.94,11140,서울특별시 중구,1292.9596262929597
85,"66,000",2019,신당동,57.63,11140,서울특별시 중구,1145.2368558042685
86,"63,000",2019,신당동,83.97,11140,서울특별시 중구,750.2679528403002
87,"115,000",2019,신당동,114.88,11140,서울특별시 중구,1001.0445682451253
88,"90,000",2019,신당동,114.88,11140,서울특별시 중구,783.4261838440111
89,"72,000",2019,신당동,122.275,11140,서울특별시 중구,588.8366387241873
90,"68,000",2019,신당동,59.97,11140,서울특별시 중구,1133.9002834750709
91,"17,000",2019,흥인동,15.55,11140,서울특별시 중구,1093.2475884244373
92,"16,900",2019,흥인동,15.55,11140,서울특별시 중구,1086.8167202572347
93,"17,500",2019,흥인동,16.55,11140,서울특별시 중구,1057.4018126888218
94,"25,000",2019,흥인동,25.24,11140,서울특별시 중구,990.4912836767037
95,"17,400",2019,흥인동,15.55,11140,서울특별시 중구,1118.9710610932475
96,"103,000",2019,흥인동,116.6232,11140,서울특별시 중구,883.1861927986885
97,"17,200",2019,흥인동,15.55,11140,서울특별시 중구,1106.1093247588424
98,"78,000",2019,황학동,109.146,11140,서울특별시 중구,714.6391072508383
99,"13,200",2019,황학동,16.37,11140,서울특별시 중구,806.3530849114233
100,"74,750",2019,황학동,84.89,11140,서울특별시 중구,880.551301684533
101,"17,450",2019,황학동,15.97,11140,서울특별시 중구,1092.6737633061991
102,"72,000",2019,황학동,84.962,11140,서울특별시 중구,847.4376780207622
103,"14,000",2019,황학동,16.37,11140,서울특별시 중구,855.2229688454489
104,"14,800",2019,황학동,16.37,11140,서울특별시 중구,904.0928527794746
105,"61,000",2019,황학동,59.94,11140,서울특별시 중구,1017.6843510176844
106,"71,000",2019,황학동,84.9,11140,서울특별시 중구,836.2779740871613
107,"69,000",2019,황학동,84.97,11140,서울특별시 중구,812.0513122278452
108,"44,500",2019,정동,45.94,11140,서울특별시 중구,968.6547670875054
109,"47,500",2019,순화동,65.71,11140,서울특별시 중구,722.8732308628825
110,"57,000",2019,순화동,64.01,11140,서울특별시 중구,890.4858615841274
111,"68,000",2019,후암동,62.78,11170,서울특별시 용산구,1083.147499203568
112,"135,000",2019,후암동,166.56,11170,서울특별시 용산구,810.5187319884726
113,"40,000",2019,동자동,44,11170,서울특별시 용산구,909.0909090909091
114,"157,000",2019,동자동,149.05,11170,서울특별시 용산구,1053.3378061053338
115,"147,000",2019,동자동,145.2,11170,서울특별시 용산구,1012.3966942148761
116,"69,000",2019,산천동,59.55,11170,서울특별시 용산구,1158.6901763224182
117,"71,300",2019,산천동,59.55,11170,서울특별시 용산구,1197.3131821998322
118,"63,900",2019,산천동,59.69,11170,서울특별시 용산구,1070.5310772323674
119,"71,500",2019,산천동,59.55,11170,서울특별시 용산구,1200.671704450042
120,"93,000",2019,도원동,84.69,11170,서울특별시 용산구,1098.1225646475382
121,"80,000",2019,도원동,59.94,11170,서울특별시 용산구,1334.6680013346681
122,"16,600",2019,도원동,45.26,11170,서울특별시 용산구,366.7697746354397
123,"79,000",2019,도원동,59.94,11170,서울특별시 용산구,1317.9846513179848
124,"88,000",2019,용문동,59.94,11170,서울특별시 용산구,1468.1348014681348
125,"180,000",2019,문배동,152.5,11170,서울특별시 용산구,1180.327868852459
126,"16,900",2019,문배동,13.69,11170,서울특별시 용산구,1234.4777209642075
127,"20,000",2019,문배동,13.01,11170,서울특별시 용산구,1537.2790161414298
128,"92,000",2019,문배동,84.98,11170,서울특별시 용산구,1082.6076723935043
129,"107,000",2019,신계동,59.66,11170,서울특별시 용산구,1793.4964800536375
130,"134,000",2019,신계동,84.89,11170,서울특별시 용산구,1578.513370243845
131,"140,000",2019,신계동,84.89,11170,서울특별시 용산구,1649.1930733890918
132,"56,500",2019,한강로1가,35.37,11170,서울특별시 용산구,1597.3989256432005
133,"55,000",2019,한강로1가,35.37,11170,서울특별시 용산구,1554.9901046084253
134,"125,000",2019,한강로1가,99.85,11170,서울특별시 용산구,1251.8778167250878
135,"235,000",2019,한강로2가,152.4741,11170,서울특별시 용산구,1541.2453656063556
136,"35,000",2019,한강로2가,28.22,11170,서울특별시 용산구,1240.2551381998583
137,"197,500",2019,한강로2가,121.17,11170,서울특별시 용산구,1629.9414046381116
138,"230,000",2019,용산동5가,130.56,11170,서울특별시 용산구,1761.642156862745
139,"185,000",2019,용산동5가,123.42,11170,서울특별시 용산구,1498.9466861124615
140,"158,000",2019,한강로3가,153.61,11170,서울특별시 용산구,1028.5788685632444
