2021,서울특별시 서초구,2212.343256330868
2021,서울특별시 강남구,2124.4768059531443
2020,서울특별시 강남구,2087.7115717525667
2021,경기도 과천시,2068.029607855029
2019,서울특별시 강남구,2051.8601382733195
2021,서울특별시 송파구,1987.4902015177656
2020,서울특별시 서초구,1914.6092847157804
2021,서울특별시 용산구,1887.6396047624164
2021,서울특별시 성동구,1804.0355352786053
2020,경기도 과천시,1796.1015996066676
2019,서울특별시 서초구,1755.5722848033479
2018,서울특별시 강남구,1702.4892729316846
2021,서울특별시 동작구,1684.873689320845
2020,서울특별시 송파구,1601.0066861158055
2020,서울특별시 용산구,1594.7957620433938
2021,서울특별시 마포구,1565.5428895862108
2021,경기도 성남시 분당구,1559.206649014302
2021,서울특별시 광진구,1514.7608554736062
2019,경기도 과천시,1492.4982176928913
2020,서울특별시 성동구,1471.1585441871337
2017,서울특별시 강남구,1466.0823194668615
2019,서울특별시 용산구,1463.5239585637648
2018,서울특별시 서초구,1461.5510610637136
2019,서울특별시 송파구,1440.6605345975838
2021,서울특별시 강동구,1437.1581549025361
2021,서울특별시 영등포구,1379.0215866902424
2021,서울특별시 양천구,1353.1847395967611
2020,서울특별시 마포구,1344.3597271462136
2018,경기도 과천시,1304.6792144489082
2021,경기도 성남시 수정구,1301.5427118702778
2020,서울특별시 광진구,1291.4524552806743
2021,서울특별시 중구,1287.79154727826
2016,서울특별시 강남구,1280.425957755242
2021,서울특별시 서대문구,1258.670888375208
2019,서울특별시 성동구,1245.3227315303986
2017,서울특별시 서초구,1238.2164870485205
2021,서울특별시 종로구,1234.483498918557
2020,서울특별시 동작구,1230.76007949515
2019,서울특별시 마포구,1222.0746992178456
2018,서울특별시 송파구,1203.0529368611146
2018,서울특별시 용산구,1198.845176056322
2020,경기도 성남시 분당구,1196.8498638181356
2017,경기도 과천시,1190.4745806952253
2020,서울특별시 영등포구,1180.242814223721
2021,서울특별시 강서구,1178.6069330426028
2021,서울특별시 동대문구,1175.1855395703394
2020,서울특별시 강동구,1169.6799253203478
2021,경기도 하남시,1158.1516173339978
2021,서울특별시 성북구,1144.7295459217266
2020,서울특별시 양천구,1143.5517855439098
