전라북도 장수군,52.56320676661262,113.09150217900755,2.151533537159335
경상북도 군위군,87.871668305,162.70973648536108,1.8516746025647348
전라남도 장성군,77.70854148246427,126.59528359744023,1.6291038434431016
충청북도 보은군,87.88673246192852,137.85786997193543,1.5685856796605087
전라남도 영암군,108.18824254048077,168.70626376704647,1.5593770617349818
경상북도 청도군,73.68958589691596,110.3638286007938,1.497685558379732
전라북도 무주군,125.80046481741489,165.7245304706189,1.3173602395758177
경상남도 함양군,121.35796321826123,159.7276365395258,1.3161693909797831
전라북도 진안군,81.04915269696902,104.31627717921748,1.287074247021938
제주특별자치도 서귀포시,160.8622555618883,205.60915072896654,1.2781690149176284
