,price,year,dong,area,region_code,region_nmae,per_price
0,"67,000",2017,사직동,70.8,11110,서울특별시 종로구,946.3276836158193
1,"89,300",2017,사직동,94.51,11110,서울특별시 종로구,944.8735583536134
2,"110,000",2017,사직동,160.85,11110,서울특별시 종로구,683.8669567920423
3,"86,000",2017,사직동,94.51,11110,서울특별시 종로구,909.9566183472648
4,"117,000",2017,사직동,136.4,11110,서울특별시 종로구,857.7712609970674
5,"61,500",2017,당주동,104.5,11110,서울특별시 종로구,588.5167464114833
6,"95,000",2017,내수동,117.26,11110,서울특별시 종로구,810.1654443117858
7,"24,000",2017,익선동,43.98,11110,서울특별시 종로구,545.7025920873125
8,"22,000",2017,연건동,19.86,11110,서울특별시 종로구,1107.7542799597181
9,"17,900",2017,연건동,16.98,11110,서울특별시 종로구,1054.1813898704359
10,"18,100",2017,연건동,16.98,11110,서울특별시 종로구,1065.959952885748
11,"40,300",2017,명륜1가,73.5,11110,서울특별시 종로구,548.2993197278912
12,"55,000",2017,명륜2가,94.86,11110,서울특별시 종로구,579.8018131983977
13,"55,400",2017,명륜2가,84.9,11110,서울특별시 종로구,652.5323910482921
14,"64,500",2017,명륜2가,84.9,11110,서울특별시 종로구,759.7173144876325
15,"65,000",2017,명륜2가,84.9,11110,서울특별시 종로구,765.6065959952886
16,"49,000",2017,창신동,84.5,11110,서울특별시 종로구,579.8816568047338
17,"30,000",2017,창신동,28.8,11110,서울특별시 종로구,1041.6666666666667
18,"54,000",2017,창신동,84.9,11110,서울특별시 종로구,636.0424028268551
19,"30,000",2017,창신동,54.7,11110,서울특별시 종로구,548.4460694698355
20,"41,000",2017,창신동,79.87,11110,서울특별시 종로구,513.3341680230374
21,"32,800",2017,창신동,64.66,11110,서울특별시 종로구,507.2687905969688
22,"30,000",2017,창신동,28.8,11110,서울특별시 종로구,1041.6666666666667
23,"12,000",2017,숭인동,15.42,11110,서울특별시 종로구,778.2101167315175
24,"55,800",2017,숭인동,84.9478,11110,서울특별시 종로구,656.8739861420778
25,"62,900",2017,숭인동,114.67,11110,서울특별시 종로구,548.5305659719194
26,"62,500",2017,숭인동,114.7153,11110,서울특별시 종로구,544.8270631729159
27,"66,500",2017,숭인동,112.54,11110,서울특별시 종로구,590.901012973165
28,"14,000",2017,숭인동,19.466,11110,서울특별시 종로구,719.2027124216582
29,"59,000",2017,숭인동,84.95,11110,서울특별시 종로구,694.526191877575
30,"65,500",2017,숭인동,114.67,11110,서울특별시 종로구,571.2043254556553
31,"46,400",2017,숭인동,59.92,11110,서울특별시 종로구,774.3658210947931
32,"59,800",2017,숭인동,114.67,11110,서울특별시 종로구,521.4964681259265
33,"38,000",2017,교북동,59.98,11110,서울특별시 종로구,633.5445148382795
34,"175,942",2017,평창동,213.07,11110,서울특별시 종로구,825.7474069554606
35,"37,500",2017,평창동,59.82,11110,서울특별시 종로구,626.8806419257774
36,"46,000",2017,평창동,84.99,11110,서울특별시 종로구,541.2401458995176
37,"136,000",2017,평창동,200.165,11110,서울특별시 종로구,679.4394624434841
38,"17,100",2017,평창동,30.55,11110,서울특별시 종로구,559.7381342062193
39,"20,000",2017,평창동,91.87,11110,서울특별시 종로구,217.69892239033416
40,"160,000",2017,평창동,200.19,11110,서울특별시 종로구,799.240721314751
41,"44,800",2017,평창동,87.27,11110,서울특별시 종로구,513.3493755013178
42,"33,000",2017,평창동,59.97,11110,서울특별시 종로구,550.2751375687844
43,"58,990",2017,무악동,84.92,11110,서울특별시 종로구,694.6537918040509
44,"70,200",2017,무악동,84.858,11110,서울특별시 종로구,827.2643710669589
45,"85,000",2017,무악동,114.931,11110,서울특별시 종로구,739.5741792901828
46,"86,000",2017,무악동,114.931,11110,서울특별시 종로구,748.2750519877144
47,"57,500",2017,무악동,59.993,11110,서울특별시 종로구,958.4451519343924
48,"71,000",2017,무악동,114.931,11110,서울특별시 종로구,617.761961524741
49,"66,990",2017,무악동,114.9,11110,서울특별시 종로구,583.0287206266319
50,"48,990",2017,무악동,60,11110,서울특별시 종로구,816.5
51,"49,790",2017,무악동,60,11110,서울특별시 종로구,829.8333333333334
52,"66,000",2017,무악동,84.858,11110,서울특별시 종로구,777.7699215159442
53,"95,000",2017,회현동1가,103.49,11140,서울특별시 중구,917.9630882210843
54,"120,000",2017,회현동1가,133.98,11140,서울특별시 중구,895.6560680698612
55,"152,500",2017,회현동2가,158.97,11140,서울특별시 중구,959.3004969491099
56,"33,000",2017,충무로4가,71.93,11140,서울특별시 중구,458.7793688308077
57,"44,750",2017,충무로4가,107.9,11140,서울특별시 중구,414.7358665430954
58,"59,500",2017,충무로4가,80.473,11140,서울특별시 중구,739.378425061822
59,"63,500",2017,충무로4가,89.307,11140,서울특별시 중구,711.030490331105
60,"25,500",2017,묵정동,52.46,11140,서울특별시 중구,486.0846359130766
61,"27,000",2017,묵정동,52.46,11140,서울특별시 중구,514.6778497903164
62,"63,800",2017,신당동,84.88,11140,서울특별시 중구,751.6493873704053
63,"68,000",2017,신당동,114.48,11140,서울특별시 중구,593.9902166317261
64,"77,000",2017,신당동,145.1,11140,서울특별시 중구,530.6685044796692
65,"64,000",2017,신당동,114.91,11140,서울특별시 중구,556.9576190061788
66,"67,900",2017,신당동,84.88,11140,서울특별시 중구,799.9528746465598
67,"16,700",2017,신당동,16.87,11140,서울특별시 중구,989.922940130409
68,"16,600",2017,신당동,18.08,11140,서울특별시 중구,918.141592920354
69,"66,600",2017,신당동,114.88,11140,서울특별시 중구,579.7353760445683
70,"53,000",2017,신당동,59.74,11140,서울특별시 중구,887.1777703381318
71,"49,500",2017,신당동,59.94,11140,서울특별시 중구,825.8258258258259
72,"57,550",2017,신당동,84.96,11140,서울특별시 중구,677.3775894538607
73,"60,000",2017,신당동,84.88,11140,서울특별시 중구,706.8803016022621
74,"81,800",2017,신당동,114.88,11140,서울특별시 중구,712.0473537604457
75,"61,800",2017,신당동,59.89,11140,서울특별시 중구,1031.8918016363332
76,"13,500",2017,신당동,38.53,11140,서울특별시 중구,350.3763301323644
77,"46,500",2017,신당동,84.96,11140,서울특별시 중구,547.316384180791
78,"76,500",2017,신당동,114.88,11140,서울특별시 중구,665.9122562674095
79,"41,200",2017,신당동,66.6,11140,서울특별시 중구,618.6186186186187
80,"65,500",2017,신당동,114.92,11140,서울특별시 중구,569.9617124956492
81,"41,000",2017,신당동,59.9,11140,서울특별시 중구,684.4741235392321
82,"70,300",2017,신당동,114.88,11140,서울특별시 중구,611.9428969359332
83,"49,500",2017,신당동,59.94,11140,서울특별시 중구,825.8258258258259
84,"48,800",2017,신당동,59.94,11140,서울특별시 중구,814.1474808141475
85,"58,000",2017,신당동,84.88,11140,서울특별시 중구,683.3176248821867
86,"60,000",2017,신당동,114.91,11140,서울특별시 중구,522.1477678182926
87,"62,500",2017,신당동,59.89,11140,서울특별시 중구,1043.5798964768742
88,"131,639",2017,흥인동,173.1707,11140,서울특별시 중구,760.1690124253121
89,"16,500",2017,황학동,41.74,11140,서울특별시 중구,395.3042644944897
90,"55,500",2017,황학동,84.9,11140,서울특별시 중구,653.7102473498232
91,"60,000",2017,황학동,84.962,11140,서울특별시 중구,706.1980650173018
92,"14,600",2017,황학동,16.37,11140,서울특별시 중구,891.8753817959682
93,"71,000",2017,황학동,111.224,11140,서울특별시 중구,638.3514349420988
94,"57,000",2017,황학동,84.97,11140,서울특별시 중구,670.8249970577851
95,"16,900",2017,황학동,15.97,11140,서울특별시 중구,1058.234189104571
96,"14,450",2017,황학동,16.37,11140,서울특별시 중구,882.7122785583384
97,"60,000",2017,황학동,84.92,11140,서울특별시 중구,706.547338671691
98,"73,000",2017,황학동,114.9,11140,서울특별시 중구,635.3350739773716
99,"85,000",2017,중림동,139.562,11140,서울특별시 중구,609.0483082787578
100,"74,300",2017,중림동,114.77,11140,서울특별시 중구,647.3817199616625
101,"70,000",2017,중림동,84.878,11140,서울특별시 중구,824.7131176512171
102,"68,700",2017,만리동1가,84.9846,11140,서울특별시 중구,808.3817538707012
103,"49,000",2017,후암동,62.28,11170,서울특별시 용산구,786.7694283879255
104,"112,000",2017,후암동,166.56,11170,서울특별시 용산구,672.4303554274736
105,"59,000",2017,후암동,177.69,11170,서울특별시 용산구,332.0389442287129
106,"53,000",2017,원효로1가,46.004,11170,서울특별시 용산구,1152.073732718894
107,"52,500",2017,신창동,84.54,11170,서울특별시 용산구,621.0078069552874
108,"59,000",2017,산천동,84.98,11170,서울특별시 용산구,694.2810072958342
109,"57,000",2017,산천동,84.98,11170,서울특별시 용산구,670.7460578959755
110,"173,000",2017,청암동,223.75,11170,서울특별시 용산구,773.1843575418994
111,"73,000",2017,원효로4가,78.06,11170,서울특별시 용산구,935.1780681527031
112,"62,500",2017,효창동,59.41,11170,서울특별시 용산구,1052.0114458845312
113,"63,500",2017,효창동,59.41,11170,서울특별시 용산구,1068.8436290186837
114,"62,500",2017,효창동,59.41,11170,서울특별시 용산구,1052.0114458845312
115,"60,000",2017,효창동,84.18,11170,서울특별시 용산구,712.7583749109051
116,"28,000",2017,효창동,66.12,11170,서울특별시 용산구,423.4724742891712
117,"13,000",2017,도원동,45.26,11170,서울특별시 용산구,287.22934158197086
118,"67,000",2017,용문동,84.98,11170,서울특별시 용산구,788.4208048952694
119,"59,500",2017,문배동,84.77,11170,서울특별시 용산구,701.8992568125517
120,"56,000",2017,문배동,84.98,11170,서울특별시 용산구,658.9785831960461
121,"64,500",2017,문배동,84.97,11170,서울특별시 용산구,759.0914440390726
122,"70,000",2017,문배동,84.03,11170,서울특별시 용산구,833.0358205402832
123,"57,300",2017,문배동,84.56,11170,서울특별시 용산구,677.6253547776727
124,"17,000",2017,문배동,13.69,11170,서울특별시 용산구,1241.782322863404
125,"88,000",2017,신계동,84.89,11170,서울특별시 용산구,1036.6356461302862
126,"115,000",2017,신계동,124.96,11170,서울특별시 용산구,920.2944942381563
127,"104,000",2017,신계동,124.08,11170,서울특별시 용산구,838.1689232753063
128,"108,000",2017,신계동,124.08,11170,서울특별시 용산구,870.4061895551257
129,"110,000",2017,신계동,124.96,11170,서울특별시 용산구,880.2816901408452
130,"120,000",2017,한강로1가,134.42,11170,서울특별시 용산구,892.7242969796162
131,"90,000",2017,한강로1가,114.676,11170,서울특별시 용산구,784.8198402455614
132,"93,000",2017,한강로2가,125.68,11170,서울특별시 용산구,739.9745385105028
133,"209,500",2017,한강로3가,145.65,11170,서울특별시 용산구,1438.3796773086165
134,"99,999",2017,이촌동,121.44,11170,서울특별시 용산구,823.4436758893281
135,"105,000",2017,이촌동,114.74,11170,서울특별시 용산구,915.1124280983092
136,"65,500",2017,이촌동,59.12,11170,서울특별시 용산구,1107.916102841678
137,"40,000",2017,이촌동,66.08,11170,서울특별시 용산구,605.3268765133172
138,"105,000",2017,이촌동,177.62,11170,서울특별시 용산구,591.1496453102128
139,"113,000",2017,이촌동,114.96,11170,서울특별시 용산구,982.9505915100905
140,"88,000",2017,이촌동,147.74,11170,서울특별시 용산구,595.6409909300121
141,"73,000",2017,이촌동,84.88,11170,서울특별시 용산구,860.0377002827522
142,"72,000",2017,이촌동,59.88,11170,서울특별시 용산구,1202.4048096192384
143,"92,900",2017,이촌동,84.78,11170,서울특별시 용산구,1095.7773059683886
144,"147,000",2017,이촌동,134.9,11170,서울특별시 용산구,1089.696071163825
145,"59,500",2017,이촌동,59.22,11170,서울특별시 용산구,1004.7281323877069
146,"106,400",2017,이촌동,114.69,11170,서울특별시 용산구,927.7181968785421
147,"70,200",2017,이촌동,84.88,11170,서울특별시 용산구,827.0499528746466
148,"95,500",2017,이촌동,84.89,11170,서울특별시 용산구,1124.9852750618447
149,"109,999",2017,이촌동,146.38,11170,서울특별시 용산구,751.4619483536003
150,"87,000",2017,이태원동,104.66,11170,서울특별시 용산구,831.2631377794764
151,"428,000",2017,한남동,233.062,11170,서울특별시 용산구,1836.4212098068324
152,"73,300",2017,한남동,84.86,11170,서울특별시 용산구,863.7756304501532
153,"34,800",2017,한남동,45.42,11170,서울특별시 용산구,766.1822985468956
154,"101,000",2017,한남동,130.898,11170,서울특별시 용산구,771.593148864001
155,"314,000",2017,한남동,177.764,11170,서울특별시 용산구,1766.386894984361
156,"59,000",2017,한남동,84.64,11170,서울특별시 용산구,697.069943289225
157,"77,000",2017,한남동,84.757,11170,서울특별시 용산구,908.4795356135776
158,"350,000",2017,한남동,208.478,11170,서울특별시 용산구,1678.8342175193545
159,"119,000",2017,한남동,126.49,11170,서울특별시 용산구,940.7858328721638
160,"190,000",2017,한남동,203.76,11170,서울특별시 용산구,932.4695720455438
161,"410,000",2017,한남동,235.312,11170,서울특별시 용산구,1742.367580063915
162,"355,000",2017,한남동,208.478,11170,서울특별시 용산구,1702.8175634839167
163,"63,000",2017,한남동,83.79,11170,서울특별시 용산구,751.8796992481202
164,"67,000",2017,동빙고동,121.9,11170,서울특별시 용산구,549.630844954881
165,"116,000",2017,동빙고동,204.62,11170,서울특별시 용산구,566.9045059134004
166,"98,000",2017,동빙고동,130.3,11170,서울특별시 용산구,752.1105141980046
167,"114,000",2017,서빙고동,95.66,11170,서울특별시 용산구,1191.720677399122
168,"60,000",2017,보광동,84.74,11170,서울특별시 용산구,708.0481472740147
169,"78,000",2017,상왕십리동,84.92,11200,서울특별시 성동구,918.5115402731983
170,"76,500",2017,하왕십리동,84.88,11200,서울특별시 성동구,901.2723845428841
171,"53,000",2017,하왕십리동,84.33,11200,서울특별시 성동구,628.4833392624214
172,"52,000",2017,하왕십리동,64.236,11200,서울특별시 성동구,809.5149137555264
173,"43,000",2017,하왕십리동,62.41,11200,서울특별시 성동구,688.9921486941196
174,"36,000",2017,하왕십리동,84.495,11200,서울특별시 성동구,426.0607136516953
175,"124,500",2017,하왕십리동,148.94,11200,서울특별시 성동구,835.9070766751712
176,"49,750",2017,하왕십리동,114.59,11200,서울특별시 성동구,434.15655816388863
177,"75,000",2017,하왕십리동,84.88,11200,서울특별시 성동구,883.6003770028276
178,"45,500",2017,하왕십리동,59.936,11200,서울특별시 성동구,759.1430859583555
179,"44,800",2017,하왕십리동,75.2,11200,서울특별시 성동구,595.7446808510638
180,"40,000",2017,하왕십리동,84.495,11200,서울특별시 성동구,473.4007929463282
181,"51,500",2017,하왕십리동,84.94,11200,서울특별시 성동구,606.3103367082647
182,"45,800",2017,도선동,71.34,11200,서울특별시 성동구,641.996075133165
183,"47,300",2017,마장동,84.93,11200,서울특별시 성동구,556.929235841281
184,"32,000",2017,마장동,40.86,11200,서울특별시 성동구,783.1620166421928
185,"49,500",2017,마장동,84.71,11200,서울특별시 성동구,584.3465942627789
186,"50,500",2017,마장동,84.71,11200,서울특별시 성동구,596.1515759650573
187,"22,900",2017,마장동,18.37,11200,서울특별시 성동구,1246.5977136635818
188,"41,800",2017,마장동,59.96,11200,서울특별시 성동구,697.1314209472982
189,"32,600",2017,마장동,40.86,11200,서울특별시 성동구,797.846304454234
190,"40,500",2017,마장동,60,11200,서울특별시 성동구,675.0
191,"34,800",2017,사근동,59.84,11200,서울특별시 성동구,581.5508021390374
192,"33,500",2017,사근동,71.85,11200,서울특별시 성동구,466.24913013221993
193,"158,500",2017,행당동,150.2,11200,서울특별시 성동구,1055.25965379494
194,"50,200",2017,행당동,59.96,11200,서울특별시 성동구,837.2248165443629
195,"60,000",2017,행당동,114.94,11200,서울특별시 성동구,522.0114842526535
196,"47,400",2017,행당동,59.96,11200,서울특별시 성동구,790.5270180120079
197,"44,700",2017,행당동,59.96,11200,서울특별시 성동구,745.4969979986657
198,"60,000",2017,행당동,84.74,11200,서울특별시 성동구,708.0481472740147
199,"60,000",2017,행당동,84.95,11200,서울특별시 성동구,706.2978222483814
200,"58,000",2017,행당동,84.87,11200,서울특별시 성동구,683.3981383292094
201,"48,800",2017,행당동,59.91,11200,서울특별시 성동구,814.555166082457
202,"61,000",2017,행당동,84.74,11200,서울특별시 성동구,719.8489497285816
203,"42,600",2017,행당동,59.96,11200,서울특별시 성동구,710.4736490993996
204,"65,000",2017,행당동,114.94,11200,서울특별시 성동구,565.5124412737081
205,"70,000",2017,행당동,84.99,11200,서울특별시 성동구,823.6263089775268
206,"46,450",2017,행당동,59.96,11200,서울특별시 성동구,774.6831220813876
207,"76,000",2017,행당동,84.06,11200,서울특별시 성동구,904.1161075422317
208,"63,700",2017,행당동,84.71,11200,서울특별시 성동구,751.9773344351316
209,"66,000",2017,행당동,114.94,11200,서울특별시 성동구,574.2126326779189
210,"63,700",2017,행당동,84.71,11200,서울특별시 성동구,751.9773344351316
211,"103,000",2017,행당동,101.45,11200,서울특별시 성동구,1015.2784622966979
212,"58,600",2017,행당동,84.87,11200,서울특별시 성동구,690.4677742429598
213,"36,300",2017,응봉동,59.91,11200,서울특별시 성동구,605.9088632949424
214,"60,000",2017,응봉동,84.65,11200,서울특별시 성동구,708.8009450679267
215,"60,000",2017,응봉동,113.71,11200,서울특별시 성동구,527.6580775657375
216,"83,000",2017,응봉동,114.88,11200,서울특별시 성동구,722.4930362116992
217,"67,700",2017,응봉동,84.42,11200,서울특별시 성동구,801.9426676143094
218,"53,200",2017,응봉동,114.86,11200,서울특별시 성동구,463.17255789656974
219,"46,800",2017,응봉동,79.8,11200,서울특별시 성동구,586.4661654135339
220,"67,900",2017,응봉동,113.71,11200,서울특별시 성동구,597.1330577785595
221,"55,500",2017,응봉동,84.83,11200,서울특별시 성동구,654.2496758222327
222,"59,200",2017,응봉동,84.83,11200,서울특별시 성동구,697.8663208770482
223,"60,000",2017,응봉동,84.42,11200,서울특별시 성동구,710.7320540156361
224,"72,500",2017,응봉동,114.86,11200,서울특별시 성동구,631.2032039004005
225,"49,900",2017,응봉동,59.76,11200,서울특별시 성동구,835.0066934404284
226,"47,500",2017,응봉동,84.53,11200,서울특별시 성동구,561.9306754998225
227,"58,300",2017,금호동1가,84.45,11200,서울특별시 성동구,690.3493191237418
228,"49,000",2017,금호동1가,59.95,11200,서울특별시 성동구,817.347789824854
229,"53,500",2017,금호동1가,84.82,11200,서울특별시 성동구,630.7474652204669
230,"93,700",2017,금호동2가,114.32,11200,서울특별시 성동구,819.62911126662
231,"60,000",2017,금호동2가,59.99,11200,서울특별시 성동구,1000.1666944490748
232,"86,500",2017,금호동2가,114.32,11200,서울특별시 성동구,756.6480055983205
233,"69,500",2017,금호동2가,84.98,11200,서울특별시 성동구,817.839491645093
234,"71,000",2017,금호동2가,84.97,11200,서울특별시 성동구,835.5890314228551
235,"58,000",2017,금호동2가,59.99,11200,서울특별시 성동구,966.8278046341056
236,"63,800",2017,금호동2가,59.98,11200,서울특별시 성동구,1063.6878959653218
237,"58,000",2017,금호동2가,59.98,11200,서울특별시 성동구,966.9889963321108
238,"93,900",2017,금호동2가,114.32,11200,서울특별시 성동구,821.3785864240729
239,"70,000",2017,금호동3가,130.92,11200,서울특별시 성동구,534.6776657500765
240,"53,000",2017,금호동3가,79.08,11200,서울특별시 성동구,670.2073849266566
241,"51,700",2017,금호동3가,79.08,11200,서울특별시 성동구,653.7683358624179
242,"42,800",2017,금호동3가,79.08,11200,서울특별시 성동구,541.224076884168
243,"51,700",2017,금호동3가,59.97,11200,서울특별시 성동구,862.0977155244288
244,"43,000",2017,금호동3가,59.97,11200,서울특별시 성동구,717.0251792562948
245,"41,750",2017,금호동3가,59.97,11200,서울특별시 성동구,696.181424045356
246,"51,500",2017,금호동3가,79.08,11200,서울특별시 성동구,651.2392513909965
247,"56,200",2017,금호동3가,84.96,11200,서울특별시 성동구,661.4877589453861
248,"53,000",2017,금호동3가,84.99,11200,서울특별시 성동구,623.6027767972703
249,"49,000",2017,금호동4가,59.97,11200,서울특별시 성동구,817.075204268801
250,"43,000",2017,금호동4가,59.97,11200,서울특별시 성동구,717.0251792562948
251,"60,000",2017,금호동4가,59.9,11200,서울특별시 성동구,1001.669449081803
252,"81,000",2017,금호동4가,84.87,11200,서울특별시 성동구,954.4008483563096
253,"69,000",2017,금호동4가,59.839,11200,서울특별시 성동구,1153.094135931416
254,"59,800",2017,금호동4가,59.99,11200,서울특별시 성동구,996.8328054675779
255,"65,000",2017,금호동4가,84.838,11200,서울특별시 성동구,766.1661048115232
256,"49,800",2017,금호동4가,59.97,11200,서울특별시 성동구,830.415207603802
257,"74,500",2017,금호동4가,59.839,11200,서울특별시 성동구,1245.0074366216013
258,"56,500",2017,금호동4가,84.71,11200,서울특별시 성동구,666.9814661787275
259,"53,000",2017,금호동4가,59.97,11200,서울특별시 성동구,883.7752209438053
260,"56,000",2017,옥수동,59.7,11200,서울특별시 성동구,938.0234505862646
261,"62,000",2017,옥수동,114.32,11200,서울특별시 성동구,542.337298810357
262,"82,000",2017,옥수동,84.767,11200,서울특별시 성동구,967.3575801904043
263,"83,000",2017,옥수동,84.767,11200,서울특별시 성동구,979.154623851263
264,"79,000",2017,옥수동,84.86,11200,서울특별시 성동구,930.9450860240396
265,"45,000",2017,옥수동,57.16,11200,서울특별시 성동구,787.2638208537439
266,"72,500",2017,옥수동,84.822,11200,서울특별시 성동구,854.7310839169083
267,"71,700",2017,옥수동,59.25,11200,서울특별시 성동구,1210.126582278481
268,"81,000",2017,옥수동,84.699,11200,서울특별시 성동구,956.3277016257571
269,"60,000",2017,옥수동,114.32,11200,서울특별시 성동구,524.8425472358293
270,"118,500",2017,옥수동,113.74,11200,서울특별시 성동구,1041.8498329523475
271,"75,000",2017,옥수동,84.767,11200,서울특별시 성동구,884.7782745643942
272,"57,000",2017,옥수동,59.7,11200,서울특별시 성동구,954.7738693467336
273,"75,000",2017,옥수동,59.91,11200,서울특별시 성동구,1251.8778167250878
274,"85,000",2017,옥수동,114.666,11200,서울특별시 성동구,741.2833795545323
275,"57,000",2017,옥수동,59.7,11200,서울특별시 성동구,954.7738693467336
276,"43,000",2017,성수동1가,58.32,11200,서울특별시 성동구,737.3113854595337
277,"42,500",2017,성수동1가,59.83,11200,서울특별시 성동구,710.3459802774528
278,"60,900",2017,성수동1가,112.09,11200,서울특별시 성동구,543.313408867874
279,"43,000",2017,성수동1가,58.32,11200,서울특별시 성동구,737.3113854595337
280,"380,000",2017,성수동1가,170.98,11200,서울특별시 성동구,2222.482161656334
281,"50,000",2017,성수동1가,84.22,11200,서울특별시 성동구,593.6832106388032
282,"53,000",2017,성수동1가,81.48,11200,서울특별시 성동구,650.4663721158566
283,"59,500",2017,성수동1가,84.81,11200,서울특별시 성동구,701.5682112958377
284,"54,500",2017,성수동1가,52.68,11200,서울특별시 성동구,1034.5482156416097
285,"423,000",2017,성수동1가,217.86,11200,서울특별시 성동구,1941.6138804736986
286,"71,500",2017,성수동2가,84.87,11200,서울특별시 성동구,842.4649463885943
287,"61,500",2017,성수동2가,84.87,11200,서울특별시 성동구,724.6376811594203
288,"71,000",2017,성수동2가,104.56,11200,서울특별시 성동구,679.0359602142311
289,"65,000",2017,성수동2가,59.67,11200,서울특별시 성동구,1089.3246187363834
290,"60,000",2017,성수동2가,59.95,11200,서울특별시 성동구,1000.834028356964
291,"43,000",2017,성수동2가,84.95,11200,서울특별시 성동구,506.1801059446733
292,"95,500",2017,성수동2가,117.13,11200,서울특별시 성동구,815.3333902501495
293,"43,500",2017,성수동2가,81.02,11200,서울특별시 성동구,536.9044680325845
294,"90,500",2017,성수동2가,84.78,11200,서울특별시 성동구,1067.4687426279784
295,"135,000",2017,성수동2가,143,11200,서울특별시 성동구,944.0559440559441
296,"72,500",2017,성수동2가,84.6,11200,서울특별시 성동구,856.9739952718677
297,"39,450",2017,성수동2가,59.82,11200,서울특별시 성동구,659.4784353059177
298,"65,500",2017,성수동2가,57.49,11200,서울특별시 성동구,1139.328578883284
299,"50,000",2017,송정동,84.87,11200,서울특별시 성동구,589.1363261458702
300,"39,900",2017,송정동,84.945,11200,서울특별시 성동구,469.7156983930779
301,"46,000",2017,송정동,75.51,11200,서울특별시 성동구,609.1908356509072
302,"32,500",2017,송정동,59.21,11200,서울특별시 성동구,548.893767944604
303,"25,000",2017,중곡동,55.87,11215,서울특별시 광진구,447.46733488455345
304,"45,500",2017,중곡동,84.6,11215,서울특별시 광진구,537.8250591016549
305,"19,000",2017,중곡동,48.46,11215,서울특별시 광진구,392.07593891869584
306,"29,600",2017,중곡동,59.82,11215,서울특별시 광진구,494.81778669341355
307,"46,000",2017,중곡동,154.08,11215,서울특별시 광진구,298.546209761163
308,"43,300",2017,중곡동,84.6,11215,서울특별시 광진구,511.82033096926716
309,"30,000",2017,구의동,76.5,11215,서울특별시 광진구,392.15686274509807
310,"46,800",2017,구의동,59.97,11215,서울특별시 광진구,780.3901950975488
311,"117,000",2017,구의동,183.87,11215,서울특별시 광진구,636.3191385217817
312,"59,500",2017,구의동,84.68,11215,서울특별시 광진구,702.6452527161076
313,"62,900",2017,구의동,84.32,11215,서울특별시 광진구,745.9677419354839
314,"49,000",2017,구의동,80.55,11215,서울특별시 광진구,608.3178150217257
315,"39,500",2017,구의동,59.92,11215,서울특별시 광진구,659.2122830440587
316,"95,000",2017,구의동,183.87,11215,서울특별시 광진구,516.6693859792244
317,"48,000",2017,구의동,59.82,11215,서울특별시 광진구,802.407221664995
318,"37,600",2017,구의동,59.1,11215,서울특별시 광진구,636.2098138747884
319,"50,300",2017,구의동,59.82,11215,서울특별시 광진구,840.8559010364427
320,"70,000",2017,구의동,84.99,11215,서울특별시 광진구,823.6263089775268
321,"96,000",2017,구의동,183.87,11215,서울특별시 광진구,522.1080110947952
322,"40,000",2017,구의동,59.97,11215,서울특별시 광진구,667.0001667500417
323,"90,000",2017,광장동,84.94,11215,서울특별시 광진구,1059.571462208618
324,"72,000",2017,광장동,174.05,11215,서울특별시 광진구,413.67423154266015
325,"63,500",2017,광장동,84.69,11215,서울특별시 광진구,749.7933640335341
326,"52,000",2017,광장동,84.92,11215,서울특별시 광진구,612.3410268487988
327,"50,000",2017,광장동,59.67,11215,서울특별시 광진구,837.9420144126026
328,"51,000",2017,광장동,59.93,11215,서울특별시 광진구,850.9928249624562
329,"54,750",2017,광장동,66.03,11215,서울특별시 광진구,829.1685597455702
330,"58,000",2017,광장동,84.92,11215,서울특별시 광진구,682.995760715968
331,"72,000",2017,광장동,83.96,11215,서울특별시 광진구,857.5512148642212
332,"99,000",2017,광장동,84.94,11215,서울특별시 광진구,1165.5286084294796
333,"65,500",2017,광장동,84.97,11215,서울특별시 광진구,770.8603036365777
334,"78,000",2017,광장동,59.99,11215,서울특별시 광진구,1300.2167027837972
335,"69,000",2017,광장동,84.81,11215,서울특별시 광진구,813.5833038556774
336,"72,500",2017,광장동,84.56,11215,서울특별시 광진구,857.3793755912961
337,"49,700",2017,광장동,133.68,11215,서울특별시 광진구,371.78336325553556
338,"50,900",2017,광장동,59.93,11215,서울특별시 광진구,849.3242115801769
339,"175,000",2017,광장동,226.45,11215,서울특별시 광진구,772.7975270479135
340,"44,400",2017,광장동,59.4,11215,서울특별시 광진구,747.4747474747475
341,"47,650",2017,광장동,84.9,11215,서울특별시 광진구,561.2485276796231
342,"69,000",2017,광장동,75.55,11215,서울특별시 광진구,913.302448709464
343,"48,200",2017,광장동,65.66,11215,서울특별시 광진구,734.0846786475785
344,"89,000",2017,광장동,126.94,11215,서울특별시 광진구,701.1186387269577
345,"49,000",2017,광장동,69,11215,서울특별시 광진구,710.1449275362319
346,"105,000",2017,자양동,119.41,11215,서울특별시 광진구,879.3233397537895
347,"170,000",2017,자양동,163.53,11215,서울특별시 광진구,1039.5646058827126
