,날짜,누적확진자,일일확진자
256,20201003,24026,75
257,20201004,24090,64
258,20201005,24163,73
259,20201006,24238,75
260,20201007,24352,114
261,20201008,24421,69
262,20201009,24475,54
263,20201010,24547,72
264,20201011,24605,58
265,20201012,24703,98
266,20201013,24794,91
267,20201014,24878,84
268,20201015,24988,110
269,20201016,25035,47
270,20201017,25108,73
271,20201018,25199,91
272,20201019,25275,76
273,20201020,25333,58
274,20201021,25422,89
275,20201022,25543,121
276,20201023,25698,155
277,20201024,25775,77
278,20201025,25836,61
279,20201026,25955,119
280,20201027,26043,88
281,20201028,26146,103
282,20201029,26271,125
283,20201030,26384,113
284,20201031,26511,127
285,20201101,26635,124
286,20201102,26732,97
287,20201103,26807,75
288,20201104,26924,117
289,20201105,27049,125
290,20201106,27194,145
291,20201107,27283,89
292,20201108,27426,143
293,20201109,27552,126
294,20201110,27652,100
295,20201111,27797,145
296,20201112,27940,143
297,20201113,28131,191
298,20201114,28336,205
299,20201115,28544,208
300,20201116,28766,222
301,20201117,28996,230
302,20201118,29281,285
303,20201119,29606,325
304,20201120,29954,348
305,20201121,30340,386
306,20201122,30670,330
307,20201123,30941,271
308,20201124,31290,349
309,20201125,31672,382
310,20201126,32253,581
311,20201127,32808,555
312,20201128,33311,503
313,20201129,33761,450
314,20201130,34199,438
315,20201201,34650,451
316,20201202,35161,511
317,20201203,35701,540
318,20201204,36329,628
319,20201205,36906,577
320,20201206,37537,631
321,20201207,38152,615
322,20201208,38739,587
323,20201209,39409,670
324,20201210,40089,680
325,20201211,40778,689
326,20201212,41728,950
327,20201213,42758,1030
328,20201214,43476,718
329,20201215,44356,880
330,20201216,45434,1078
331,20201217,46448,1014
332,20201218,47512,1064
333,20201219,48557,1045
334,20201220,49653,1096
335,20201221,50577,924
336,20201222,51443,866
337,20201223,52533,1090
338,20201224,53518,985
339,20201225,54758,1240
340,20201226,55889,1131
341,20201227,56859,970
342,20201228,57665,806
343,20201229,58709,1044
344,20201230,59759,1050
345,20201231,60726,967
346,20210101,61753,1027
347,20210102,62573,820
348,20210103,63230,657
349,20210104,64250,1020
350,20210105,64964,714
351,20210106,65802,838
352,20210107,66671,869
353,20210108,67345,674
354,20210109,67986,641
355,20210110,68643,657
356,20210111,69094,451
357,20210112,69631,537
358,20210113,70192,561
359,20210114,70716,524
360,20210115,71228,512
361,20210116,71808,580
362,20210117,72328,520
363,20210118,72717,389
364,20210119,73103,386
365,20210120,73507,404
366,20210121,73907,400
367,20210122,74253,346
368,20210123,74684,431
369,20210124,75076,392
370,20210125,75513,437
371,20210126,75862,349
372,20210127,76421,559
373,20210128,76918,497
374,20210129,77387,469
375,20210130,77843,456
376,20210131,78197,354
377,20210201,78502,305
