,price,year,dong,area,region_code,per_price
0,"16,000",2012,합천읍 합천리,84.6174,48890,189.086405396526
1,"3,600",2012,합천읍 합천리,56.82,48890,63.357972544878564
2,"5,500",2012,합천읍 합천리,56.89,48890,96.67779926173317
3,"15,910",2012,합천읍 합천리,84.86,48890,187.4852698562338
4,"15,300",2012,합천읍 합천리,84.2951,48890,181.5052120467263
5,"15,700",2012,합천읍 합천리,84.6174,48890,185.54103529534115
6,"4,600",2012,합천읍 합천리,58.17,48890,79.07856283307547
7,"8,000",2012,합천읍 영창리,59.99,48890,133.35555925987663
8,"7,700",2012,합천읍 영창리,51.86,48890,148.47666795217896
9,"5,000",2012,가야면 황산리,83.86,48890,59.62318149296446
