,price,year,dong,area,region_code,per_price
92,"21,500",2012,삼도일동,84.2,50110,255.34441805225651
93,"7,800",2012,삼도일동,30.4213,50110,256.3992991752489
94,"6,500",2012,삼도일동,23.1,50110,281.38528138528136
95,"14,700",2012,삼도일동,84.28,50110,174.41860465116278
96,"5,350",2012,삼도일동,18.91,50110,282.9190904283448
97,"5,350",2012,삼도일동,18.91,50110,282.9190904283448
98,"5,150",2012,삼도일동,18.91,50110,272.34267583289267
99,"5,150",2012,삼도일동,18.91,50110,272.34267583289267
100,"4,950",2012,삼도일동,18.91,50110,261.7662612374405
101,"4,950",2012,삼도일동,18.91,50110,261.7662612374405
102,"22,900",2012,삼도일동,82.8084,50110,276.5419933243487
103,"11,200",2012,삼도일동,84.61,50110,132.37206004018438
104,"12,000",2012,삼도일동,84.96,50110,141.24293785310735
105,"22,900",2012,삼도일동,82.8084,50110,276.5419933243487
106,"16,000",2012,삼도일동,84.97,50110,188.30175356008004
107,"10,500",2012,삼도일동,68.9,50110,152.39477503628447
108,"5,150",2012,삼도일동,18.91,50110,272.34267583289267
109,"8,000",2012,삼도일동,30.4213,50110,262.9736401797425
110,"13,000",2012,삼도이동,84.88,50110,153.1573986804901
111,"18,500",2012,삼도이동,84.7042,50110,218.40711558576788
112,"16,000",2012,삼도이동,84.2631,50110,189.88145463435362
113,"12,850",2012,삼도이동,84.84,50110,151.46157472890147
114,"22,229",2012,삼도이동,101.82,50110,218.31663720290712
115,"9,000",2012,건입동,82.34,50110,109.30289045421424
116,"12,900",2012,건입동,76.8377,50110,167.88633704548678
117,"12,200",2012,건입동,83.68,50110,145.79349904397705
118,"15,500",2012,건입동,84.18,50110,184.12924685198382
119,"15,200",2012,건입동,84.18,50110,180.5654549774293
120,"4,500",2012,건입동,59.11,50110,76.12925054982236
121,"17,000",2012,건입동,138.9,50110,122.39020878329733
122,"15,000",2012,용담일동,84.85,50110,176.7825574543312
123,"13,250",2012,용담일동,83.6537,50110,158.39108132694668
124,"14,900",2012,용담일동,83.36,50110,178.74280230326295
125,"18,000",2012,용담이동,84.9781,50110,211.8192804969751
126,"17,500",2012,용담이동,84.9902,50110,205.90609270245275
127,"18,000",2012,용담이동,84.9781,50110,211.8192804969751
128,"18,000",2012,용담이동,84.9781,50110,211.8192804969751
129,"7,000",2012,용담이동,84.39,50110,82.94821661334281
130,"13,200",2012,용담이동,84.75,50110,155.75221238938053
131,"19,000",2012,용담삼동,84.64,50110,224.48015122873346
132,"18,800",2012,용담삼동,84.64,50110,222.117202268431
133,"19,000",2012,용담삼동,84.64,50110,224.48015122873346
134,"9,200",2012,용담삼동,131.52,50110,69.95133819951337
135,"18,400",2012,용담삼동,84.64,50110,217.3913043478261
136,"18,400",2012,용담삼동,84.64,50110,217.3913043478261
137,"18,600",2012,용담삼동,84.64,50110,219.75425330812854
138,"18,600",2012,용담삼동,84.64,50110,219.75425330812854
139,"18,800",2012,용담삼동,84.64,50110,222.117202268431
140,"18,800",2012,용담삼동,84.64,50110,222.117202268431
141,"19,200",2012,용담삼동,84.64,50110,226.8431001890359
142,"19,200",2012,용담삼동,84.64,50110,226.8431001890359
143,"18,600",2012,용담삼동,84.64,50110,219.75425330812854
144,"18,400",2012,용담삼동,84.64,50110,217.3913043478261
145,"18,100",2012,용담삼동,84.64,50110,213.8468809073724
146,"18,100",2012,용담삼동,84.64,50110,213.8468809073724
147,"18,400",2012,용담삼동,84.64,50110,217.3913043478261
148,"18,600",2012,용담삼동,84.64,50110,219.75425330812854
149,"19,400",2012,용담삼동,84.64,50110,229.20604914933838
150,"19,000",2012,용담삼동,84.64,50110,224.48015122873346
151,"8,700",2012,용담삼동,53.325,50110,163.1504922644163
152,"8,500",2012,화북일동,49.5,50110,171.7171717171717
153,"9,700",2012,화북일동,49.5,50110,195.95959595959596
154,"10,500",2012,화북일동,59.93,50110,175.20440513932922
155,"13,500",2012,화북일동,59.93,50110,225.262806607709
156,"7,000",2012,화북일동,59.93,50110,116.80293675955281
157,"7,500",2012,화북일동,66.85,50110,112.19147344801796
158,"6,600",2012,화북일동,59.93,50110,110.1284832304355
159,"12,450",2012,화북일동,59.93,50110,207.74236609377607
160,"15,000",2012,화북일동,84.6,50110,177.3049645390071
161,"7,300",2012,화북일동,66.63,50110,109.5602581419781
162,"11,500",2012,화북일동,59.93,50110,191.8905389621225
163,"11,200",2012,화북일동,59.93,50110,186.8846988152845
164,"11,500",2012,화북일동,59.93,50110,191.8905389621225
165,"12,500",2012,화북일동,59.93,50110,208.57667278491573
166,"9,000",2012,화북일동,59.93,50110,150.17520440513934
167,"10,000",2012,화북일동,59.93,50110,166.86133822793258
168,"14,700",2012,화북일동,84.6,50110,173.75886524822695
169,"7,000",2012,화북일동,66.24,50110,105.67632850241547
170,"11,100",2012,화북이동,84.739,50110,130.99045303815242
171,"8,650",2012,삼양이동,69.84,50110,123.8545246277205
172,"8,400",2012,삼양이동,103.32,50110,81.30081300813009
173,"8,700",2012,삼양이동,95.04,50110,91.54040404040403
174,"5,200",2012,삼양이동,69.27,50110,75.0685722535008
175,"10,000",2012,삼양이동,84.878,50110,117.81615966445958
176,"16,000",2012,삼양이동,84.45,50110,189.46121965660154
177,"13,500",2012,아라일동,84.84,50110,159.1230551626591
178,"6,350",2012,아라일동,46.32,50110,137.08981001727116
179,"9,300",2012,아라일동,59.78,50110,155.57042489126798
180,"8,400",2012,아라일동,59.78,50110,140.5152224824356
181,"9,500",2012,아라일동,68.58,50110,138.52435112277632
182,"9,800",2012,아라일동,68.58,50110,142.89880431612715
183,"15,050",2012,아라일동,84.84,50110,177.3927392739274
184,"6,800",2012,아라일동,67.6,50110,100.59171597633137
185,"13,000",2012,아라일동,84.84,50110,153.22960867515323
186,"25,800",2012,노형동,84.9,50110,303.886925795053
187,"5,800",2012,노형동,36.54,50110,158.73015873015873
188,"40,000",2012,노형동,110.63,50110,361.5655789568833
189,"14,000",2012,노형동,45.9078,50110,304.95907013622957
190,"23,900",2012,노형동,59.957,50110,398.61901029070833
191,"24,700",2012,노형동,83.76,50110,294.8901623686724
192,"22,800",2012,노형동,59.56,50110,382.8072531900604
193,"22,500",2012,노형동,74.89,50110,300.4406462812124
194,"15,200",2012,노형동,45.9078,50110,331.09841900504927
195,"27,000",2012,노형동,84.9508,50110,317.8310269002764
196,"28,500",2012,노형동,80.6583,50110,353.3424334507422
197,"46,500",2012,노형동,125.659,50110,370.04910113879623
198,"25,000",2012,노형동,84.09,50110,297.3005113568795
199,"14,400",2012,노형동,45.9078,50110,313.6721864258361
200,"11,900",2012,노형동,56.62,50110,210.17308371600143
201,"17,000",2012,노형동,84.8695,50110,200.30753097402481
202,"7,600",2012,노형동,22.28,50110,341.113105924596
203,"7,800",2012,노형동,22.28,50110,350.08976660682225
